County,State,mean_life_expectancy,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,75.8778642323899,01,001,10196.0
Baldwin County,Alabama,77.9130697620398,01,003,18594.0
Barbour County,Alabama,74.9198636240141,01,005,12756.0
Bibb County,Alabama,73.6673305057905,01,007,4788.0
Blount County,Alabama,75.0352199305904,01,009,905.0
Bullock County,Alabama,74.0743945438457,01,011,7967.0
Butler County,Alabama,73.7224421194177,01,013,8875.0
Calhoun County,Alabama,73.2983281711204,01,015,23791.0
Chambers County,Alabama,74.35653924479,01,017,13779.0
Cherokee County,Alabama,74.35852627411,01,019,1209.0
Chilton County,Alabama,74.0413531729133,01,021,4418.0
Choctaw County,Alabama,74.2486999564165,01,023,5658.0
Clarke County,Alabama,74.5765529742926,01,025,11304.0
Clay County,Alabama,74.369383765865,01,027,1993.0
Cleburne County,Alabama,73.9771106499581,01,029,354.0
Coffee County,Alabama,76.3011829926155,01,031,8766.0
Colbert County,Alabama,74.3929774045908,01,033,8532.0
Conecuh County,Alabama,73.4218703928667,01,035,5880.0
Coosa County,Alabama,75.1413818724986,01,037,3516.0
Covington County,Alabama,74.1371294582595,01,039,4945.0
Crenshaw County,Alabama,74.0180136364953,01,041,3312.0
Cullman County,Alabama,74.3769894915807,01,043,899.0
Dale County,Alabama,75.5523047608571,01,045,9756.0
Dallas County,Alabama,71.9735127187965,01,047,28798.0
DeKalb County,Alabama,74.4934976817947,01,049,1082.0
Elmore County,Alabama,75.7757161449512,01,051,17296.0
Escambia County,Alabama,73.1630074988594,01,053,12267.0
Etowah County,Alabama,73.053355135026,01,055,15931.0
Fayette County,Alabama,73.6581554932797,01,057,2104.0
Franklin County,Alabama,73.3754326341656,01,059,1427.0
Geneva County,Alabama,74.4234456628163,01,061,2570.0
Greene County,Alabama,73.9562928242995,01,063,6977.0
Hale County,Alabama,73.7872404003688,01,065,8843.0
Henry County,Alabama,75.4295227396512,01,067,4793.0
Houston County,Alabama,76.107335428337,01,069,27680.0
Jackson County,Alabama,73.4224281684067,01,071,1733.0
Jefferson County,Alabama,74.6861744174914,01,073,280248.0
Lamar County,Alabama,74.3621045612881,01,075,1584.0
Lauderdale County,Alabama,76.0319979262066,01,077,9126.0
Lawrence County,Alabama,73.765357848758,01,079,3800.0
Lee County,Alabama,77.5109882075979,01,081,35770.0
Limestone County,Alabama,77.2763641772968,01,083,11502.0
Lowndes County,Alabama,71.8951633690497,01,085,7886.0
Macon County,Alabama,73.090134567349,01,087,16162.0
Madison County,Alabama,77.5122550397981,01,089,84657.0
Marengo County,Alabama,73.54245764648,01,091,10587.0
Marion County,Alabama,74.0145601745605,01,093,1012.0
Marshall County,Alabama,74.0554552221729,01,095,1981.0
Mobile County,Alabama,74.8448680449495,01,097,146306.0
Monroe County,Alabama,74.7048197454091,01,099,9405.0
Montgomery County,Alabama,75.9247713547993,01,101,129205.0
Morgan County,Alabama,75.2816176346909,01,103,14557.0
Perry County,Alabama,72.2207426684408,01,105,6760.0
Pickens County,Alabama,74.3841278449026,01,107,8387.0
Pike County,Alabama,74.9075976437267,01,109,12514.0
Randolph County,Alabama,74.1995203731576,01,111,4429.0
Russell County,Alabama,73.8166201926909,01,113,24789.0
Saint Clair County,Alabama,74.931099486946,01,115,8156.0
Shelby County,Alabama,79.9329869213868,01,117,23898.0
Sumter County,Alabama,74.3710053760309,01,119,9523.0
Talladega County,Alabama,73.4265194965138,01,121,25996.0
Tallapoosa County,Alabama,74.8367340685609,01,123,11248.0
Tuscaloosa County,Alabama,76.1222396683925,01,125,62793.0
Walker County,Alabama,70.313647599106,01,127,3791.0
Washington County,Alabama,74.2666042086814,01,129,4189.0
Wilcox County,Alabama,71.4893330327934,01,131,8000.0
Winston County,Alabama,74.3483369616355,01,133,98.0
Anchorage Municipality,Alaska,78.9414080782189,02,020,16938.0
Bethel Census Area,Alaska,72.4470915674431,02,050,135.0
Bristol Bay Borough,Alaska,75.6282235384974,02,060,3.0
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,4183.0
Haines Borough,Alaska,81.3439033397237,02,100,1.0
Juneau City and Borough,Alaska,80.1511541046263,02,110,381.0
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,345.0
Kodiak Island Borough,Alaska,79.6808969333594,02,150,20.0
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,1042.0
Nome Census Area,Alaska,70.7266373275761,02,180,75.0
North Slope Borough,Alaska,75.2944708808568,02,185,57.0
